;regiao_saude;retencao_geral
0;12002;0.7531914893617022
0;27007;0.8526315789473684
0;27001;0.8841062801932367
0;13001;0.771412037037037
0;23004;1.0
0;23001;0.8749103429250489
0;23013;1.0
0;23021;0.8969696969696969
0;23022;1.0
0;23011;0.8388157894736842
0;32002;0.7607853589196872
0;32004;1.0
0;32005;0.9232456140350876
0;21016;0.8724358974358974
0;31016;0.7863756008773279
0;31001;0.9324324324324325
0;31037;0.7902567510941896
0;31031;1.0
0;31004;1.0
0;31059;1.0
0;31003;0.9122807017543859
0;31057;0.8737373737373737
0;31006;0.9269662921348315
0;31092;0.8728813559322034
0;31024;0.9042207792207793
0;31099;0.9745762711864406
0;31075;0.7220430107526883
0;31086;0.9310344827586207
0;31002;1.0
0;31022;1.0
0;31007;1.0
0;31052;1.0
0;31023;1.0
0;31097;0.9834834834834834
0;31025;1.0
0;31044;1.0
0;31017;0.8332558236970001
0;31084;0.849754178957719
0;31072;0.9
0;50001;0.7141732283464567
0;50003;0.9872448979591837
0;50004;0.7905405405405406
0;15006;0.8088235294117647
0;15003;0.984375
0;15002;0.8867924528301887
0;25002;1.0
0;25001;0.7657844387755102
0;26003;0.8722222222222222
0;26010;0.7437811821506555
0;22011;1.0
0;41002;0.8139147209000149
0;41010;0.8170903954802259
0;41015;0.8047619047619047
0;41008;1.0
0;41017;0.8713439542483661
0;41014;0.9642857142857143
0;41018;1.0
0;41005;1.0
0;41007;1.0
0;41001;1.0
0;41003;0.9188405797101449
0;41011;0.7321428571428571
0;41020;0.9466666666666667
0;41006;1.0
0;14001;0.8818181818181818
0;43014;0.9427083333333334
0;43027;0.8833333333333333
0;43004;0.9045454545454544
0;43023;0.831060606060606
0;43001;0.5526954177897574
0;43010;0.6945340669013497
0;43008;0.7411564625850341
0;43017;0.885215053763441
0;43028;0.9826839826839827
0;43007;0.7691441441441441
0;43005;1.0
0;43016;1.0
0;43026;1.0
0;43029;0.8698979591836735
0;43021;0.7908771929824561
0;43002;0.9090909090909091
0;43011;0.9722222222222222
0;43006;0.8112332112332112
0;42013;0.9019607843137254
0;42002;0.9039548022598869
0;42008;0.7866666666666667
0;42011;0.8446180555555555
0;42012;0.946969696969697
0;42004;1.0
0;42005;0.910233918128655
0;42006;0.8757009345794391
0;42007;0.7928666666666668
0;42001;0.9619047619047618
0;42017;1.0
0;42016;0.9210526315789473
0;42003;0.9807692307692307
0;28001;0.8211657947492722
0;28006;1.0
0;28004;1.0
0;35074;1.0
0;35172;0.9583333333333334
0;35021;0.9411764705882353
0;35051;0.47167978107748415
0;35031;0.8748366013071895
0;35071;0.8945578231292516
0;35133;1.0
0;35072;0.6474991028295376
0;35161;0.9960474308300395
0;35151;0.9292452830188679
0;35013;0.9007177033492823
0;35041;0.7550799329869096
0;35141;0.9411764705882353
0;35011;0.7134265326925877
0;35163;0.6777210884353742
0;35171;0.8467436974789916
0;35064;0.8671628065837211
0;35022;0.7388888888888888
0;35014;0.8287435456110156
0;35121;0.8388888888888888
0;35103;0.70015015015015
0;35112;0.9477911646586346
0;35132;0.8067936507936508
0;35015;0.5674387474541431
0;35142;0.7579710144927536
0;35155;0.8103773584905661
0;35016;0.6463504662670472
0;27010;1.0
0;16003;1.0
0;29006;0.8787878787878789
0;29007;1.0
0;29012;0.8601239669421489
0;29016;0.9154929577464789
0;29020;0.8576854103941041
0;29028;0.9592592592592594
0;29001;0.8875
0;29003;1.0
0;29026;0.8305084745762712
0;52005;1.0
0;52001;0.8442927170868346
0;52004;0.7894736842105263
0;52015;0.8387096774193549
0;52016;1.0
0;31013;0.9659090909090909
0;31036;0.9152542372881356
0;31021;0.8888888888888888
0;31015;0.7803030303030303
0;31018;0.8731884057971014
0;31085;0.8333333333333334
0;15004;0.8304347826086957
0;15008;0.9259259259259259
0;15011;1.0
0;25006;0.8541666666666666
0;25009;1.0
0;25016;0.7454212454212455
0;26006;1.0
0;26009;0.9017412935323382
0;26012;1.0
0;22004;0.8856269113149846
0;22005;0.8500000000000001
0;41019;1.0
0;24004;0.9230769230769231
0;24007;0.8833328028180969
0;24006;0.95
0;11002;0.967391304347826
0;11004;0.7229166666666667
0;43012;0.9848484848484849
0;43013;0.9545454545454546
0;42010;0.9705882352941176
0;42009;1.0
0;35091;1.0
0;35023;0.8888888888888888
0;35081;0.9458333333333334
0;35012;0.5135064935064935
0;35032;1.0
0;35061;1.0
0;35131;0.7894736842105263
0;35073;0.7481111111111111
0;35062;0.9062682215743441
0;35092;0.8364197530864197
0;35093;0.8636363636363636
0;35101;0.9603174603174603
0;35034;1.0
0;35157;1.0
0;29004;1.0
0;29009;0.9205729166666666
0;29015;0.9767441860465116
0;29010;1.0
0;23010;1.0
0;23003;1.0
0;52011;0.7734126984126986
0;15012;1.0
0;15009;1.0
0;43022;0.8365384615384616
0;43025;0.923903818953324
0;43009;1.0
0;43020;1.0
0;43003;0.9047619047619047
0;43015;1.0
0;43024;0.7192982456140351
0;17006;0.9012345679012346
0;52002;0.8416666666666666
0;52017;1.0
0;31060;0.8445945945945946
0;31048;0.6923076923076923
0;51002;0.7621739130434783
0;51013;0.8974358974358974
0;26004;0.8184523809523808
0;26005;1.0
0;41016;0.912677304964539
0;41009;0.9322033898305084
0;41022;1.0
0;41021;1.0
0;33002;1.0
0;33008;0.8019206043072967
0;33005;0.600609759628968
0;33006;0.6980858427286999
0;33003;0.8561643835616438
0;33004;0.7649847094801222
0;33007;0.9583333333333334
0;33001;1.0
0;33009;0.6333684506250877
0;29022;0.8333333333333334
0;23020;1.0
0;53001;0.7287852754223861
0;21005;0.93
0;21008;0.8792270531400966
0;31019;0.8680555555555557
0;31032;0.8194444444444444
0;31095;1.0
0;31058;1.0
0;51011;1.0
0;51004;1.0
0;51007;1.0
0;15001;1.0
0;41012;0.9777777777777777
0;11001;1.0
0;35162;1.0
0;35094;0.7948717948717948
0;35063;0.8529449098756031
0;35143;1.0
0;35065;1.0
0;35082;1.0
0;35102;0.9272727272727272
0;35104;0.7586206896551724
0;35033;1.0
0;35174;0.8315018315018314
0;35095;1.0
0;35173;0.8882716049382716
0;35083;1.0
0;16001;0.859126984126984
0;23019;1.0
0;31010;1.0
0;31045;0.9034653465346535
0;31012;0.8019943019943021
0;31008;1.0
0;31070;1.0
0;31035;0.6609195402298851
0;26002;0.9121621621621622
0;41013;1.0
0;24002;0.7246835443037974
0;17001;0.9893617021276596
0;27005;1.0
0;21017;1.0
0;51001;1.0
0;51014;0.8655737704918033
0;11003;0.9444444444444444
0;42014;0.9285714285714286
0;17005;0.9444444444444444
0;23006;1.0
0;21004;1.0
0;29002;0.9166666666666666
0;52013;1.0
0;43030;0.7777777777777778
0;42015;0.91869918699187
0;35153;0.7752436647173488
0;35154;1.0
0;29027;1.0
0;31073;1.0
0;31030;1.0
0;31034;1.0
0;31079;1.0
0;31042;1.0
0;31074;0.9852941176470589
0;31061;1.0
0;51005;1.0
0;50002;0.9711538461538461
0;29018;1.0
0;41004;1.0
0;12003;1.0
0;43018;1.0
0;52018;0.6666666666666666
0;52014;0.8333333333333334
0;29017;0.8666666666666666
0;23012;1.0
0;23015;1.0
0;11006;1.0
0;43019;1.0
0;35111;1.0
0;35052;1.0
0;52003;1.0
0;25010;1.0
0;25013;1.0
0;51008;1.0
0;35115;1.0
0;17002;1.0
0;51006;1.0
0;51015;1.0
0;31098;1.0
