;ano;retention;regiao_saude
2;2016-01;0.7;13003
3;2017-01;0.6799999999999999;13003
4;2018-01;0.645;13003
5;2019-01;0.6199999999999999;13003
6;2020-01;0.5766666666666667;13003
7;2021-01;0.6766666666666666;13003
8;2022-01;0.475;13003
9;2023-01;0.5166666666666666;13003
10;2024-01;0.6833333333333333;13003
0;2014-01;1.0;13007
1;2015-01;0.6666666666666666;13007
2;2016-01;0.8333333333333334;13007
3;2017-01;0.875;13007
4;2018-01;0.875;13007
5;2019-01;0.85;13007
6;2020-01;0.75;13007
7;2021-01;0.75;13007
8;2022-01;0.75;13007
9;2023-01;0.6666666666666666;13007
10;2024-01;0.625;13007
0;2014-01;0.5;13004
1;2015-01;0.75;13004
2;2016-01;0.6904761904761904;13004
3;2017-01;0.6904761904761904;13004
4;2018-01;0.6821428571428572;13004
5;2019-01;0.8071428571428572;13004
6;2020-01;0.6857142857142857;13004
7;2021-01;0.8666666666666667;13004
8;2022-01;0.82;13004
9;2023-01;0.72;13004
10;2024-01;0.65;13004
0;2014-01;0.6190476190476191;13006
1;2015-01;0.746031746031746;13006
2;2016-01;0.7261904761904762;13006
3;2017-01;0.7523809523809524;13006
4;2018-01;0.8;13006
5;2019-01;0.9333333333333332;13006
6;2020-01;0.9333333333333332;13006
7;2021-01;0.9047619047619048;13006
8;2022-01;0.6785714285714286;13006
9;2023-01;0.6636904761904762;13006
10;2024-01;0.675595238095238;13006
0;2014-01;0.8333333333333333;13005
1;2015-01;0.8888888888888888;13005
2;2016-01;0.7083333333333334;13005
3;2017-01;0.7666666666666666;13005
4;2018-01;0.6916666666666667;13005
5;2019-01;0.8333333333333334;13005
6;2020-01;0.86;13005
7;2021-01;0.7466666666666667;13005
8;2022-01;0.7433333333333334;13005
9;2023-01;0.7433333333333334;13005
10;2024-01;0.7708333333333333;13005
0;2014-01;1.0;16002
1;2015-01;1.0;16002
2;2016-01;0.75;16002
3;2017-01;0.75;16002
4;2018-01;0.5;16002
5;2019-01;0.625;16002
6;2020-01;0.5833333333333334;16002
7;2021-01;0.375;16002
8;2022-01;0.5833333333333334;16002
9;2023-01;0.47222222222222215;16002
10;2024-01;0.25;16002
0;2014-01;1.0;16001
1;2015-01;0.9583333333333334;16001
2;2016-01;0.5961538461538461;16001
3;2017-01;0.8141025641025642;16001
4;2018-01;0.7532051282051282;16001
5;2019-01;0.891025641025641;16001
6;2020-01;0.8047008547008547;16001
7;2021-01;0.8826797385620916;16001
8;2022-01;0.7650477626948214;16001
9;2023-01;0.6831209150326798;16001
10;2024-01;0.6409967320261438;16001
0;2014-01;0.8571428571428571;16003
1;2015-01;0.7857142857142857;16003
2;2016-01;0.6238095238095238;16003
3;2017-01;0.6238095238095238;16003
4;2018-01;0.7428571428571429;16003
5;2019-01;0.7942857142857143;16003
6;2020-01;0.7657142857142858;16003
7;2021-01;0.78;16003
8;2022-01;0.9;16003
9;2023-01;0.8800000000000001;16003
10;2024-01;0.5166666666666666;16003
0;2014-01;0.4795238095238095;29001
1;2015-01;0.5261904761904762;29001
2;2016-01;0.530952380952381;29001
3;2017-01;0.5809523809523809;29001
4;2018-01;0.5654761904761905;29001
5;2019-01;0.8888888888888888;29001
6;2020-01;0.8125;29001
7;2021-01;0.7708333333333334;29001
8;2022-01;0.5625;29001
9;2023-01;0.61;29001
10;2024-01;0.51;29001
0;2014-01;0.7964285714285715;29025
1;2015-01;0.7095238095238094;29025
2;2016-01;0.6976190476190476;29025
3;2017-01;0.7142857142857142;29025
4;2018-01;0.6223809523809524;29025
5;2019-01;0.6966666666666667;29025
6;2020-01;0.6211111111111112;29025
7;2021-01;0.5599999999999999;29025
8;2022-01;0.39111111111111113;29025
9;2023-01;0.40021367521367524;29025
10;2024-01;0.5116239316239317;29025
0;2014-01;0.6621212121212121;29026
1;2015-01;0.48518518518518516;29026
2;2016-01;0.5166666666666666;29026
3;2017-01;0.5;29026
4;2018-01;0.5069444444444444;29026
5;2019-01;0.5626984126984127;29026
6;2020-01;0.6896825396825397;29026
7;2021-01;0.75;29026
8;2022-01;0.7885714285714285;29026
9;2023-01;0.64;29026
10;2024-01;0.8142857142857143;29026
0;2014-01;0.5366666666666667;29022
1;2015-01;0.62;29022
2;2016-01;0.5903174603174604;29022
3;2017-01;0.5673015873015872;29022
4;2018-01;0.3904761904761905;29022
5;2019-01;0.5682539682539682;29022
6;2020-01;0.7071428571428572;29022
7;2021-01;0.475;29022
8;2022-01;0.55;29022
9;2023-01;0.6352941176470588;29022
10;2024-01;0.7398395721925134;29022
0;2014-01;0.6666666666666666;29010
1;2015-01;0.5666666666666667;29010
2;2016-01;0.4962962962962963;29010
3;2017-01;0.5111111111111111;29010
4;2018-01;0.575;29010
5;2019-01;0.5628571428571428;29010
6;2020-01;0.6428571428571428;29010
7;2021-01;0.6488095238095238;29010
8;2022-01;0.46130952380952384;29010
9;2023-01;0.3839285714285714;29010
10;2024-01;0.5;29010
0;2014-01;0.7333333333333334;29024
1;2015-01;0.40714285714285714;29024
2;2016-01;0.42857142857142855;29024
3;2017-01;0.47857142857142854;29024
4;2018-01;0.3444444444444444;29024
5;2019-01;0.6;29024
6;2020-01;0.4875;29024
7;2021-01;0.5833333333333333;29024
8;2022-01;0.29166666666666663;29024
9;2023-01;0.25;29024
10;2024-01;0.625;29024
0;2014-01;0.5599206349206349;29002
1;2015-01;0.546890756302521;29002
2;2016-01;0.5274940745528981;29002
3;2017-01;0.4254147812971342;29002
4;2018-01;0.4192119155354449;29002
5;2019-01;0.40625942684766214;29002
6;2020-01;0.4621212121212121;29002
7;2021-01;0.5646540959040959;29002
8;2022-01;0.4263861138861139;29002
9;2023-01;0.5032094221567907;29002
10;2024-01;0.6248211437685123;29002
0;2014-01;0.6785714285714286;29006
1;2015-01;0.6607142857142857;29006
2;2016-01;0.6517857142857142;29006
3;2017-01;0.5317857142857143;29006
4;2018-01;0.3939285714285714;29006
5;2019-01;0.5261904761904762;29006
6;2020-01;0.4990476190476191;29006
7;2021-01;0.5233333333333333;29006
8;2022-01;0.5005797101449275;29006
9;2023-01;0.5309633418584825;29006
10;2024-01;0.5453891121666057;29006
0;2014-01;1.0;29019
1;2015-01;0.75;29019
2;2016-01;0.8333333333333334;29019
3;2017-01;0.75;29019
4;2018-01;0.6041666666666666;29019
5;2019-01;0.5416666666666666;29019
6;2020-01;0.7083333333333334;29019
7;2021-01;0.875;29019
8;2022-01;0.8333333333333334;29019
9;2023-01;0.9629629629629629;29019
10;2024-01;0.9444444444444444;29019
0;2014-01;0.5145502645502645;29015
1;2015-01;0.5009920634920635;29015
2;2016-01;0.48214285714285715;29015
3;2017-01;0.4724025974025974;29015
4;2018-01;0.3982683982683982;29015
5;2019-01;0.29978354978354976;29015
6;2020-01;0.35787337662337665;29015
7;2021-01;0.4948863636363636;29015
8;2022-01;0.46388888888888885;29015
9;2023-01;0.5286858974358974;29015
10;2024-01;0.6865384615384615;29015
0;2014-01;0.7222222222222222;29008
1;2015-01;0.7083333333333333;29008
2;2016-01;0.7666666666666666;29008
3;2017-01;0.825;29008
4;2018-01;0.7000000000000001;29008
5;2019-01;0.5333333333333333;29008
6;2020-01;0.5333333333333333;29008
7;2021-01;0.5333333333333333;29008
8;2022-01;0.7000000000000001;29008
9;2023-01;0.5;29008
10;2024-01;0.75;29008
0;2014-01;0.6950000000000001;29028
1;2015-01;0.568939393939394;29028
2;2016-01;0.7242424242424242;29028
3;2017-01;0.5363636363636364;29028
4;2018-01;0.6606060606060606;29028
5;2019-01;0.7161305361305361;29028
6;2020-01;0.6821874616611459;29028
7;2021-01;0.7263022941970311;29028
8;2022-01;0.50472334682861;29028
9;2023-01;0.5539541160593793;29028
10;2024-01;0.5059649122807017;29028
0;2014-01;0.5916666666666667;29012
1;2015-01;0.6933333333333334;29012
2;2016-01;0.6644444444444444;29012
3;2017-01;0.6616666666666666;29012
4;2018-01;0.7227777777777777;29012
5;2019-01;0.8027777777777778;29012
6;2020-01;0.8183333333333334;29012
7;2021-01;0.8230952380952381;29012
8;2022-01;0.7361904761904763;29012
9;2023-01;0.7861904761904762;29012
10;2024-01;0.789047619047619;29012
0;2014-01;0.4590909090909091;29018
1;2015-01;0.6363636363636364;29018
2;2016-01;0.5060606060606061;29018
3;2017-01;0.6575757575757576;29018
4;2018-01;0.5925757575757575;29018
5;2019-01;0.5066666666666666;29018
6;2020-01;0.51;29018
7;2021-01;0.5133333333333333;29018
8;2022-01;0.5133333333333333;29018
9;2023-01;0.75;29018
10;2024-01;0.875;29018
0;2014-01;0.875;29023
1;2015-01;0.6666666666666666;29023
2;2016-01;0.75;29023
3;2017-01;0.6666666666666666;29023
4;2018-01;0.6666666666666666;29023
5;2019-01;0.8333333333333333;29023
6;2020-01;0.6666666666666666;29023
7;2021-01;0.4444444444444444;29023
8;2022-01;0.5833333333333334;29023
9;2023-01;0.5208333333333334;29023
10;2024-01;0.625;29023
0;2014-01;0.6458333333333334;29011
1;2015-01;0.5520833333333334;29011
2;2016-01;0.625;29011
3;2017-01;0.59375;29011
4;2018-01;0.41865079365079366;29011
5;2019-01;0.6297619047619047;29011
6;2020-01;0.6404761904761904;29011
7;2021-01;0.6446428571428572;29011
8;2022-01;0.5672619047619047;29011
9;2023-01;0.5738095238095238;29011
10;2024-01;0.5866666666666667;29011
0;2014-01;0.6666666666666667;29003
1;2015-01;0.5952380952380952;29003
2;2016-01;0.6011904761904762;29003
3;2017-01;0.5857142857142856;29003
4;2018-01;0.5357142857142857;29003
5;2019-01;0.4982142857142857;29003
6;2020-01;0.6;29003
7;2021-01;0.6892857142857143;29003
8;2022-01;0.518095238095238;29003
9;2023-01;0.4609523809523809;29003
10;2024-01;0.5809523809523809;29003
0;2014-01;0.6866666666666666;29005
1;2015-01;0.6866666666666666;29005
2;2016-01;0.72;29005
3;2017-01;0.7133333333333333;29005
4;2018-01;0.45;29005
5;2019-01;0.525;29005
6;2020-01;0.6555555555555556;29005
7;2021-01;0.6;29005
8;2022-01;0.6;29005
9;2023-01;0.6722222222222222;29005
10;2024-01;0.6711111111111111;29005
0;2014-01;0.8916666666666668;29004
1;2015-01;0.825;29004
2;2016-01;0.6261904761904762;29004
3;2017-01;0.8035714285714286;29004
4;2018-01;0.5704365079365079;29004
