;regiao_saude;retencao_geral
0;13001;0.7937869822485207
0;13009;1.0
0;13002;1.0
0;13003;1.0
0;13004;1.0
0;13006;1.0
0;13005;1.0
0;16002;1.0
0;16003;0.825
0;16001;0.7596689895470384
0;29003;0.7407407407407407
0;29001;0.8972222222222221
0;29026;0.7892857142857143
0;29022;0.7673469387755101
0;29006;0.6372222222222221
0;29010;0.9473684210526315
0;29024;1.0
0;29025;0.6831709956709958
0;29008;0.5666666666666667
0;29028;0.8356164383561644
0;29002;0.9305555555555556
0;29015;0.8739495798319328
0;29021;0.78125
0;29013;0.834375
0;29005;0.64
0;29007;1.0
0;29012;0.7663817663817662
0;29004;0.6528232405891979
0;29020;0.7313307645787379
0;29016;0.8125
0;29017;0.7361111111111112
0;29019;0.9222222222222223
0;29018;0.925925925925926
0;29027;0.8571428571428571
0;29011;0.7170868347338936
0;29009;0.7909836065573771
0;29023;1.0
0;29014;0.6513513513513514
0;23012;0.7291666666666666
0;23014;0.8936170212765957
0;23006;0.7687403993855606
0;23001;0.7016319870078146
0;23007;0.8611111111111112
0;23019;0.7647058823529411
0;23021;0.7162745098039216
0;23004;0.7587719298245614
0;23005;0.8240740740740741
0;23016;0.7379310344827585
0;23011;0.5385661957090528
0;23022;0.7822222222222223
0;23002;0.5558788408329692
0;23015;0.8823924731182795
0;23020;0.6303418803418803
0;23010;0.6344086021505376
0;23003;0.6896676788124156
0;23013;0.6493055555555556
0;23017;0.655
0;23018;0.7777777777777778
0;23009;0.6928571428571428
0;23008;0.7473867595818814
0;53001;0.763971970335
0;32002;0.7258649559313904
0;32005;0.5740740740740741
0;32004;0.7087606837606837
0;52004;0.7291666666666666
0;52011;0.6546099290780142
0;52001;0.6518433826522061
0;52002;0.6111742424242425
0;52012;0.8939393939393939
0;52007;1.0
0;52017;0.7416666666666666
0;52005;0.7018779342723004
0;52006;1.0
0;52013;1.0
0;52008;0.6590909090909091
0;52003;1.0
0;52009;0.5238095238095238
0;52018;0.9555555555555556
0;52016;0.8272727272727274
0;52014;0.9659090909090909
0;52010;0.9416666666666667
0;52015;0.8398268398268399
0;15011;0.6841438703140831
0;15007;0.7195473251028807
0;15013;1.0
0;15001;0.7000000000000001
0;15002;0.8207070707070708
0;15012;0.7560975609756098
0;15006;0.7541163923252557
0;15009;0.6443589743589744
0;15003;0.7645833333333333
0;15004;0.8160173160173161
0;15014;0.9883720930232558
0;15008;0.510443554368788
0;15010;1.0
0;26001;0.8611111111111112
0;26009;0.8464285714285714
0;26003;0.7145161290322581
0;26008;0.6862869198312236
0;26005;0.7536144578313253
0;26010;0.7310892730442539
0;26002;0.856497175141243
0;26007;0.9009009009009008
0;26004;0.8276255707762556
0;26012;0.861111111111111
0;26006;0.5750319284802042
0;26011;0.8333333333333334
0;22011;1.0
0;22003;0.592741935483871
0;22002;1.0
0;22005;0.8666666666666667
0;22009;0.6018518518518517
0;22001;0.7777777777777778
0;22010;1.0
0;22008;0.8333333333333334
0;22004;0.7536746277458352
0;22006;1.0
0;41002;0.632450598597295
0;41012;0.8448275862068966
0;41014;0.6469651240778002
0;41017;0.8137674037674038
0;41018;0.7979414951245938
0;41016;0.6406617192331479
0;41011;0.744973544973545
0;41020;0.6611111111111111
0;41015;0.6850866296175221
0;41008;0.6561461794019934
0;41010;0.5522530864197531
0;41005;0.6974474474474475
0;41003;0.6324404761904762
0;41019;0.6406629318394025
0;41013;0.7803030303030302
0;41007;0.6723039215686276
0;41021;0.8129251700680271
0;41009;0.707451923076923
0;41001;0.7300531914893617
0;41004;0.9277777777777779
0;41022;0.7222222222222222
0;41006;0.716374269005848
0;33001;0.7714285714285716
0;33007;0.8147286821705426
0;33002;0.7810215080886557
0;33004;0.6515917823257272
0;33005;0.5897633446881702
0;33009;0.8258261494252873
0;33008;0.7653855503317869
0;33003;0.7741987179487181
0;33006;0.6083498101583208
0;24004;0.725108225108225
0;24008;0.9275362318840581
0;24003;0.7945454545454546
0;24006;0.9112903225806451
0;24002;0.7955326460481099
0;24001;0.6651960784313725
0;24007;0.7882336522772359
0;24005;0.8113207547169812
0;11001;0.9516129032258065
0;11002;1.0
0;11006;0.9411764705882353
0;11003;0.9666666666666667
0;11005;0.76
0;11004;0.8729305342208566
0;14001;0.7883141762452108
0;43001;0.7185292777398041
0;43003;0.7449122807017544
0;43015;0.7076502732240438
0;43010;0.6884756830186938
0;43026;0.7273809523809525
0;43029;0.8868544600938967
0;43027;0.8703703703703703
0;43021;0.6760410745259231
0;43013;0.7697072072072071
0;43022;0.8803418803418802
0;43008;0.5562750333778371
0;43016;0.611111111111111
0;43019;0.9166666666666666
0;43025;0.7592592592592591
0;43030;0.8723404255319149
0;43020;0.7837837837837838
0;43009;0.7988721804511278
0;43007;0.6681229773462782
0;43014;0.7805250305250304
0;43023;0.8739726027397261
0;43004;0.6333333333333333
0;43017;0.6715116279069767
0;43011;0.8301282051282051
0;43005;0.7837552742616034
0;43012;0.8269230769230769
0;43018;0.9583333333333334
0;43006;0.7333333333333333
0;43028;0.7815315315315315
0;43002;0.9273504273504273
0;43024;0.8823529411764706
0;42008;0.6903124999999999
0;42003;0.754830917874396
0;42002;0.6336898395721926
0;42007;0.6109441377777861
0;42001;0.6391389432485323
0;42013;0.7930960086299893
0;42010;0.869047619047619
0;42011;0.7153977041477042
0;42014;0.8611111111111112
0;42016;0.8189964157706093
0;42009;0.6572541382667965
0;42005;0.7414384829031643
0;42017;0.7239307760141095
0;42006;0.664086408640864
0;42012;0.7149234693877551
0;42015;0.6788033395176252
0;42004;0.8569620253164556
0;28007;0.9275362318840579
0;28001;0.744115459009076
0;28006;0.6263440860215053
0;28002;0.8169934640522877
0;28005;0.8666666666666666
0;28003;0.8833333333333334
0;28004;0.6515078213191421
0;17002;0.6931818181818182
0;17005;0.9390243902439024
0;17001;0.8087301587301586
0;17003;1.0
0;17004;0.84
0;17007;0.7666666666666667
0;17006;0.764018691588785
0;17008;0.8072463768115942
0;27007;0.6025844525844525
0;27004;0.8269230769230769
0;27005;0.6422705314009661
0;27003;0.6735253772290809
0;27008;0.6617486338797814
0;27006;0.7306962025316455
0;27010;0.7463768115942028
0;27001;0.6372974081173827
0;27002;0.8085470085470085
0;27009;0.7330729166666667
0;50003;0.7268518518518519
0;50001;0.6919739057239056
0;50002;0.96875
0;50004;0.7142018779342723
0;51002;0.6757040450588837
0;51001;1.0
0;51013;0.8483796296296297
0;51004;1.0
0;51008;0.7
0;51007;0.875
0;51011;0.9629629629629629
0;51010;1.0
0;51003;1.0
0;51015;1.0
0;51016;1.0
0;51014;0.7771541950113379
0;51005;0.8373983739837398
0;51006;1.0
0;51012;1.0
0;25010;0.9666666666666667
0;25001;0.5836610285139697
0;25002;0.8285714285714286
0;25003;0.71875
0;25009;1.0
0;25016;0.5954545454545455
0;25008;0.8846153846153846
0;25004;1.0
0;25007;0.7222222222222222
0;25011;1.0
0;25012;1.0
0;25014;1.0
0;25005;0.8493589743589745
0;25006;0.824074074074074
0;25013;1.0
0;35091;0.8014184397163121
0;35156;0.9191176470588235
0;35142;0.8980463980463982
0;35074;0.8565400843881857
0;35062;0.6276922383172383
0;35051;0.7177266081871345
0;35133;0.7050595238095239
0;35157;0.8675213675213675
0;35112;0.6611607142857144
0;35093;0.62117791005291
0;35072;0.6615474053298451
0;35031;0.7155778220379061
0;35022;0.8703703703703703
0;35172;0.8738286479250333
0;35153;0.8065134099616859
0;35162;0.7829113924050632
0;35163;0.6963364060403534
0;35021;0.797053276756247
0;35083;0.9242424242424243
0;35101;0.7223950332821301
0;35011;0.5373688705239664
0;35092;0.8078470824949698
0;35071;0.8251236858379716
0;35061;0.7234006734006735
0;35155;0.6311905115581585
0;35023;0.7368742368742367
0;35064;0.7736728395061729
0;35121;0.7825396825396825
0;35131;0.8188342318059298
0;35014;0.6373411773411773
0;35095;0.8696808510638298
0;35052;0.8641975308641975
0;35041;0.6382954931187228
0;35032;0.8934599156118143
0;35063;0.7198258433808306
0;35073;0.6647089795438414
0;35171;0.7012121987489636
0;35143;0.7396634615384615
0;35065;0.8509347442680776
0;35012;0.5436712485681559
0;35174;0.7313813813813813
0;35161;0.8171223513328776
0;35103;0.7400386215092097
0;35173;0.8274151614668854
0;35151;0.8576760912698412
0;35102;0.6667524667524668
0;35013;0.5388422401353435
0;35034;0.5942592592592592
0;35015;0.5005994769477742
0;35111;0.7901234567901234
0;35154;0.7294444444444445
0;35081;0.6813712522045855
0;35082;0.8068783068783069
0;35141;0.5925233644859813
0;35132;0.6303150090650091
0;35033;0.8697435897435897
0;35115;0.7678571428571429
0;35152;0.7845528455284553
0;35094;0.6934684684684684
0;35113;0.7105263157894737
0;35104;0.7328282828282826
0;35114;0.75
0;35016;0.625874628289872
0;12003;1.0
0;12002;0.8776041666666666
0;21001;0.6791666666666666
0;21006;0.6430878552971575
0;21016;0.7690712719474763
0;21005;0.741421568627451
0;21007;0.7753623188405797
0;21014;0.7093896713615023
0;21003;0.9245283018867925
0;21008;0.747887323943662
0;21009;0.6392993979200876
0;21004;0.9038461538461539
0;21002;0.9574468085106383
0;21015;0.7777777777777778
0;21013;0.6790364583333333
0;21011;0.6260416666666666
0;21018;0.5742869875222817
0;21012;0.6440092165898618
0;21019;0.6626984126984127
0;21010;0.7978723404255319
0;21017;0.6723484848484849
0;31016;0.6328509392607693
0;31068;1.0
0;31040;1.0
0;31008;0.7994791666666666
0;31041;0.9558823529411765
0;31001;0.7269406392694063
0;31094;1.0
0;31092;0.7693084693084693
0;31013;0.8785714285714286
0;31060;0.9133333333333333
0;31095;1.0
0;31006;0.9140701071080819
0;31090;0.8235294117647058
0;31064;1.0
0;31075;0.59760656010656
0;31061;0.9042553191489362
0;31070;0.8031914893617019
0;31087;0.8785714285714287
0;31044;0.721264367816092
0;31019;0.8198198198198199
0;31030;0.7972972972972973
0;31021;0.7045289855072463
0;31015;0.8492907801418439
0;31037;0.7454768928220258
0;31017;0.6932957897559667
0;31047;1.0
0;31011;0.6152482269503545
0;31083;1.0
0;31028;0.7543859649122806
0;31007;0.759165613147914
0;31049;1.0
0;31055;0.861111111111111
0;31024;0.8137860082304526
0;31010;0.8472222222222222
0;31089;0.851063829787234
0;31072;0.636905337848734
0;31073;0.8911111111111112
0;31042;0.7421383647798742
0;31034;0.8584905660377359
0;31004;0.8638888888888888
0;31091;0.9285714285714286
0;31079;0.6788518109946681
0;31038;0.6916666666666667
0;31027;0.96875
0;31084;0.7373051784816491
0;31078;0.8460791635548917
0;31018;0.6734008767221327
0;31050;1.0
0;31012;0.7119047619047619
0;31074;0.731060606060606
0;31035;0.7850609756097561
0;31026;0.8522522522522522
0;31051;0.875
0;31086;0.8229043683589138
0;31093;0.7727272727272727
0;31097;0.7384920634920635
0;31096;1.0
0;31036;0.8474903474903475
0;31098;1.0
0;31020;1.0
0;31048;0.6969409282700423
0;31002;0.8041666666666667
0;31032;0.7866300366300366
0;31059;0.7763157894736842
0;31053;0.9019607843137254
0;31031;0.8289473684210527
0;31003;0.8585069444444443
0;31009;0.7684981684981685
0;31065;0.6805555555555555
0;31071;0.8022875816993464
0;31052;1.0
0;31023;0.8214285714285714
0;31057;0.7281385281385283
0;31077;1.0
0;31062;1.0
0;31099;0.9203703703703703
0;31076;1.0
0;31022;0.7452191987906274
0;31025;0.6315438034188033
0;31045;0.7198547979797979
0;31066;0.8846153846153846
0;31088;0.7301587301587302
0;31058;0.5906028368794326
0;31085;0.8819444444444445
0;31082;1.0
0;31081;1.0
0;31080;1.0
