;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2015-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;23001
2016-01;10.0;10.0;10.0;7.0;7.0;7.0;7.0;7.0;7.0;;;;;;;;23001
2017-01;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;;23001
2018-01;6.0;6.0;6.0;6.0;6.0;6.0;6.0;;;;;;;;;;23001
2019-01;8.0;8.0;8.0;8.0;8.0;8.0;;;;;;;;;;;23001
2020-01;7.0;7.0;7.0;7.0;6.0;;;;;;;;;;;;23001
2021-01;7.0;7.0;7.0;7.0;;;;;;;;;;;;;23001
2022-01;5.0;4.0;4.0;;;;;;;;;;;;;;23001
2023-01;9.0;8.0;;;;;;;;;;;;;;;23001
2024-01;4.0;;;;;;;;;;;;;;;;23001
2009-01;1.0;;;;;;;;;;;;;;;;23013
2009-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;23021
2011-01;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;23021
2017-01;4.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;;;;;;;;;23021
2018-01;1.0;;;;;;;;;;;;;;;;23021
2019-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;23021
2020-01;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;;23021
2021-01;2.0;2.0;2.0;2.0;;;;;;;;;;;;;23021
2024-01;3.0;;;;;;;;;;;;;;;;23021
2009-01;1.0;;;;;;;;;;;;;;;;23022
2023-01;1.0;;;;;;;;;;;;;;;;23022
2009-01;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;;;23011
2011-01;1.0;1.0;;;;;;;;;;;;;;;23011
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;23011
2013-01;4.0;3.0;2.0;2.0;;;;;;;;;;;;;23011
2014-01;3.0;3.0;2.0;1.0;1.0;1.0;;;;;;;;;;;23011
2015-01;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;;;;;;;23011
2017-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;23011
2019-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;23011
2020-01;4.0;4.0;2.0;2.0;2.0;;;;;;;;;;;;23011
2021-01;2.0;2.0;2.0;1.0;;;;;;;;;;;;;23011
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;23011
